"ID";"Airports";"Periods";"CrossCountryFlights_1";"LocalFlights_2";"TotalFlights_3";"Scheduled_4";"NonScheduled_5";"TotalArrivalsFlights_6";"Scheduled_7";"NonScheduled_8";"TotalDeparturesFlights_9";"Scheduled_10";"NonScheduled_11";"TotalPassengers_12";"Scheduled_13";"NonScheduled_14";"TotalArrivalsPassengers_15";"Scheduled_16";"NonScheduled_17";"TotalDeparturesPassengers_18";"Scheduled_19";"NonScheduled_20";"TotalCountryOfOriginDestination_21";"EuropeTotal_22";"EUCountries_23";"OtherEurope_24";"TotalIntercontinentalPassengers_25";"Africa_26";"NorthAfrica_27";"WestAfrica_28";"CentralAfrica_29";"EastAfrica_30";"SouthAfrica_31";"America_32";"NorthAmerica_33";"CentralAmerica_34";"SouthAmerica_35";"Asia_36";"WestAsia_37";"SouthEastAsia_38";"NorthEastAsia_39";"Oceania_40";"OtherUnknown_41";"Unknown_42";"TotalCargo_43";"ScheduledCargo_44";"NonScheduledCargo_45";"TotalUnloadedCargo_46";"ScheduledCargo_47";"NonScheduledCargo_48";"TotalLoadedCargo_49";"ScheduledCargo_50";"NonScheduledCargo_51";"TotalCountryOfOriginDestination_52";"EuropeTotalCargo_53";"EUCountries_54";"OtherEurope_55";"TotalIntercontinentalCargo_56";"Africa_57";"NorthAfrica_58";"WestAfrica_59";"CentralAfrica_60";"EastAfrica_61";"SouthAfrica_62";"America_63";"NorthAmerica_64";"CentralAmerica_65";"SouthAmerica_66";"Asia_67";"WestAsia_68";"SouthEastAsia_69";"NorthEastAsia_70";"Oceania_71";"OtherUnknown_72";"Unknown_73";"TotalMail_74";"ScheduledMail_75";"NonScheduledCargoMail_76";"TotalUnloadedMail_77";"ScheduledMail_78";"NonScheduledMail_79";"TotalLoadedMail_80";"ScheduledMail_81";"NonScheduledMail_82";"TotalCountryOfOriginDestination_83";"EuropeTotalMail_84";"EUCountries_85";"OtherEurope_86";"TotalIntercontinentalMail_87";"Africa_88";"NorthAfrica_89";"WestAfrica_90";"CentralAfrica_91";"EastAfrica_92";"SouthAfrica_93";"America_94";"NorthAmerica_95";"CentralAmerica_96";"SouthAmerica_97";"Asia_98";"WestAsia_99";"SouthEastAsia_100";"NorthEastAsia_101";"Oceania_102"
"437";"A043590";"1997JJ00";"  361910";"   10748";"  349476";"  321535";"   27941";"  174726";"  160772";"   13954";"  174750";"  160763";"   13987";"31021002";"27304883";" 3716119";"15496157";"13647587";" 1848570";"15524845";"13657296";" 1867549";"31021002";"20282682";"16776756";" 3505926";"10738320";" 1223391";"  536725";"  280021";"     550";"  162501";"  243594";" 6038044";" 4628855";"  765579";"  643610";" 3379017";" 1103362";" 1252522";" 1023133";"   97868";"       0";"       0";" 1161234";"  960350";"  200883";"  578949";"  470720";"  108229";"  582285";"  489630";"   92654";" 1161233";"  146512";"  119400";"   27112";" 1014721";"   93675";"    8434";"    6544";"     333";"   33673";"   44691";"  381178";"  282675";"   36549";"   61954";"  528278";"  197315";"  145468";"  185495";"   11590";"       0";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"438";"A043590";"1998JJ00";"  388218";"    8944";"  376810";"  348037";"   28773";"  188402";"  174108";"   14294";"  188408";"  173929";"   14479";"33946104";"29955481";" 3990623";"16899139";"14940737";" 1958402";"17046965";"15014744";" 2032221";"33946104";"22496275";"18667695";" 3828580";"11449829";" 1293242";"  534905";"  294032";"     598";"  207113";"  256594";" 6367845";" 4915352";"  736103";"  716390";" 3680895";" 1223619";" 1346148";" 1111128";"  107847";"       0";"       0";" 1171252";"  959950";"  211302";"  580416";"  468170";"  112246";"  590836";"  491780";"   99056";" 1171252";"  146230";"  120229";"   26001";" 1025022";"   98492";"    8270";"    7895";"      35";"   40797";"   41494";"  400245";"  280188";"   49071";"   70986";"  515841";"  190770";"  131536";"  193536";"   10444";"       0";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"439";"A043590";"1999MM01";"   30391";"     672";"   29640";"   28177";"    1463";"   14816";"   14103";"     713";"   14824";"   14074";"     750";" 2372578";" 2216865";"  155713";" 1192304";" 1112747";"   79557";" 1180274";" 1104118";"   76156";" 2372578";" 1496494";" 1256091";"  240403";"  876084";"  113309";"   41140";"   26043";"       0";"   22468";"   23658";"  455002";"  334326";"   62282";"   58394";"  298997";"   88737";"  129031";"   81229";"    8776";"       0";"       0";"   88159";"   69949";"   18210";"   47149";"   36336";"   10813";"   41010";"   33613";"    7397";"   88159";"   10244";"    8603";"    1641";"   77913";"    8696";"     632";"     724";"       0";"    4462";"    2878";"   29297";"   19886";"    3984";"    5427";"   39331";"   15312";"    9092";"   14927";"     589";"       0";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"440";"A043590";"1999MM02";"   28302";"     550";"   27526";"   26080";"    1446";"   13760";"   13047";"     713";"   13766";"   13033";"     733";" 2332664";" 2164590";"  168074";" 1157235";" 1076915";"   80320";" 1175429";" 1087675";"   87754";" 2332664";" 1534949";" 1299095";"  235854";"  797715";"  107207";"   45879";"   20988";"       0";"   20581";"   19759";"  408987";"  301060";"   57645";"   50282";"  274295";"   82654";"  110775";"   80866";"    7226";"       0";"       0";"   94718";"   76045";"   18673";"   49131";"   38694";"   10437";"   45587";"   37351";"    8236";"   94718";"   10862";"    9107";"    1755";"   83857";"    8511";"     504";"     709";"       0";"    4111";"    3187";"   32391";"   21750";"    4641";"    6000";"   42294";"   16558";"   10530";"   15206";"     661";"       0";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"441";"A043590";"1999MM03";"   32595";"     784";"   31473";"   29746";"    1727";"   15745";"   14878";"     867";"   15728";"   14868";"     860";" 2825328";" 2632698";"  192630";" 1418232";" 1323412";"   94820";" 1407096";" 1309286";"   97810";" 2825328";" 1837844";" 1558660";"  279184";"  987484";"  117193";"   53063";"   22334";"       0";"   20775";"   21021";"  531834";"  418994";"   59761";"   53079";"  330139";"  105905";"  120094";"  104140";"    8318";"       0";"       0";"  108780";"   86691";"   22089";"   55243";"   42841";"   12402";"   53537";"   43850";"    9687";"  108781";"   12290";"   10226";"    2064";"   96490";"    9409";"     573";"     856";"       0";"    4196";"    3784";"   36892";"   25546";"    4774";"    6572";"   49245";"   20416";"   11396";"   17433";"     944";"       0";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"442";"A043590";"1999KW01";"   91288";"    2006";"   88639";"   84003";"    4636";"   44321";"   42028";"    2293";"   44318";"   41975";"    2343";" 7530570";" 7014153";"  516417";" 3767771";" 3513074";"  254697";" 3762799";" 3501079";"  261720";" 7530570";" 4869287";" 4113846";"  755441";" 2661283";"  337709";"  140082";"   69365";"       0";"   63824";"   64438";" 1395823";" 1054380";"  179688";"  161755";"  903431";"  277296";"  359900";"  266235";"   24320";"       0";"       0";"  291657";"  232685";"   58972";"  151523";"  117871";"   33652";"  140134";"  114814";"   25320";"  291658";"   33396";"   27936";"    5460";"  258260";"   26616";"    1709";"    2289";"       0";"   12769";"    9849";"   98580";"   67182";"   13399";"   17999";"  130870";"   52286";"   31018";"   47566";"    2194";"       0";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"443";"A043590";"1999MM04";"   33069";"     858";"   32013";"   29834";"    2179";"   15999";"   14914";"    1085";"   16014";"   14920";"    1094";" 2901478";" 2641841";"  259637";" 1430660";" 1316088";"  114572";" 1470818";" 1325753";"  145065";" 2901478";" 1926831";" 1636049";"  290782";"  974647";"  111309";"   51800";"   21994";"      71";"   17873";"   19571";"  524706";"  427737";"   51104";"   45865";"  331128";"  114182";"  109316";"  107630";"    7504";"       0";"       0";"   97708";"   78607";"   19101";"   49752";"   39120";"   10632";"   47956";"   39487";"    8469";"   97708";"   11385";"    9531";"    1854";"   86323";"    8136";"     537";"     815";"       0";"    4087";"    2697";"   32595";"   23212";"    3840";"    5543";"   44965";"   18209";"    9809";"   16947";"     627";"       0";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"444";"A043590";"1999MM05";"   35221";"     732";"   34133";"   30743";"    3390";"   17070";"   15369";"    1701";"   17063";"   15374";"    1689";" 3263955";" 2768692";"  495263";" 1635931";" 1397979";"  237952";" 1628024";" 1370713";"  257311";" 3263955";" 2231219";" 1881899";"  349320";" 1032736";"  111085";"   50951";"   21314";"       0";"   20057";"   18763";"  588521";"  487429";"   52679";"   48413";"  326257";"  112851";"  105889";"  107517";"    6873";"       0";"       0";"   97092";"   78286";"   18806";"   48244";"   38222";"   10022";"   48848";"   40064";"    8784";"   97091";"   12475";"   10559";"    1916";"   84616";"    8201";"     610";"     977";"       0";"    3817";"    2797";"   33309";"   23486";"    3635";"    6188";"   42209";"   15606";"    9526";"   17077";"     897";"       0";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"445";"A043590";"1999MM06";"   34707";"     828";"   33426";"   30391";"    3035";"   16715";"   15195";"    1520";"   16711";"   15196";"    1515";" 3226738";" 2793476";"  433262";" 1595150";" 1391589";"  203561";" 1631588";" 1401887";"  229701";" 3226738";" 2179958";" 1819314";"  360644";" 1046780";"  110111";"   44648";"   21736";"       0";"   24634";"   19093";"  614953";"  512995";"   49251";"   52707";"  314288";"  106125";"  101899";"  106264";"    7428";"       0";"       0";"   92819";"   78000";"   14819";"   44290";"   37025";"    7265";"   48529";"   40975";"    7554";"   92821";"   12084";"   10231";"    1853";"   80737";"    6604";"     560";"     677";"       0";"    3156";"    2211";"   32334";"   23796";"    3272";"    5266";"   41159";"   14609";"    9933";"   16617";"     640";"       0";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"446";"A043590";"1999KW02";"  102997";"    2418";"   99572";"   90968";"    8604";"   49784";"   45478";"    4306";"   49788";"   45490";"    4298";" 9392171";" 8204009";" 1188162";" 4661741";" 4105656";"  556085";" 4730430";" 4098353";"  632077";" 9392171";" 6338008";" 5337262";" 1000746";" 3054163";"  332505";"  147399";"   65044";"      71";"   62564";"   57427";" 1728180";" 1428161";"  153034";"  146985";"  971673";"  333158";"  317104";"  321411";"   21805";"       0";"       0";"  287619";"  234893";"   52726";"  142286";"  114367";"   27919";"  145333";"  120526";"   24807";"  287620";"   35944";"   30321";"    5623";"  251676";"   22941";"    1707";"    2469";"       0";"   11060";"    7705";"   98238";"   70494";"   10747";"   16997";"  128333";"   48424";"   29268";"   50641";"    2164";"       0";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
