ID,Periods,Month,Year,Airport,CrossCountryFlights_1,TotalFlights_3,Scheduled_4,NonScheduled_5,TotalArrivalsFlights_6,Scheduled_7,NonScheduled_8,TotalDeparturesFlights_9,Scheduled_10,NonScheduled_11,TotalPassengers_12,Scheduled_13,NonScheduled_14,TotalArrivalsPassengers_15,Scheduled_16,NonScheduled_17,TotalDeparturesPassengers_18,Scheduled_19,NonScheduled_20,TotalCountryOfOriginDestination_21,EuropeTotal_22,EUCountries_23,OtherEurope_24,TotalIntercontinentalPassengers_25,Africa_26,NorthAfrica_27,WestAfrica_28,CentralAfrica_29,EastAfrica_30,SouthAfrica_31,America_32,NorthAmerica_33,CentralAmerica_34,SouthAmerica_35,Asia_36,WestAsia_37,SouthEastAsia_38,NorthEastAsia_39,Oceania_40
711,2015MM01,January,2015,Amsterdam Schiphol,32746,32032,30877,1155,15985,15414,571,16047,15463,584,3719441,3611850,107591,1874235,1818301,55934,1845206,1793549,51657,3719441,2407878,1993858,414020,1311563,215254,62306,44842,7250,65620,35236,602564,373946,121244,107374,493745,149103,176454,168188,0
712,2015MM02,February,2015,Amsterdam Schiphol,31365,30607,29457,1150,15298,14743,555,15309,14714,595,3602644,3487116,115528,1782456,1725752,56704,1820188,1761364,58824,3602644,2458211,2046556,411655,1144433,193967,60059,35356,5821,60433,32298,506992,308215,106749,92028,443474,134920,151836,156718,0
713,2015MM03,March,2015,Amsterdam Schiphol,35498,34599,33385,1214,17310,16702,608,17289,16683,606,4194059,4074504,119555,2130477,2067363,63114,2063582,2007141,56441,4194059,2870299,2399081,471218,1323760,210779,65604,43624,6501,58290,36760,622212,402484,115104,104624,490769,148450,157953,184366,0
714,2015KW01,Q1,2015,Amsterdam Schiphol,99609,97238,93719,3519,48593,46859,1734,48645,46860,1785,11516144,11173470,342674,5787168,5611416,175752,5728976,5562054,166922,11516144,7736388,6439495,1296893,3779756,620000,187969,123822,19572,184343,104294,1731768,1084645,343097,304026,1427988,432473,486243,509272,0
715,2015MM04,April,2015,Amsterdam Schiphol,38460,37602,35824,1778,18797,17910,887,18805,17914,891,4769994,4579168,190826,2333141,2257208,75933,2436853,2321960,114893,4769994,3365931,2798257,567674,1404063,209419,78088,43721,6054,51431,30125,697454,485299,105630,106525,497190,159174,140795,197221,0
716,2015MM05,May,2015,Amsterdam Schiphol,42132,41072,38046,3026,20535,19050,1485,20537,18996,1541,5380588,4947370,433218,2707937,2497151,210786,2672651,2450219,222432,5380588,3880734,3156850,723884,1499854,204011,76024,38026,7220,53473,29268,801872,579116,108063,114693,493971,155701,141172,197098,0
717,2015MM06,June,2015,Amsterdam Schiphol,41273,40066,37419,2647,20035,18727,1308,20031,18692,1339,5321300,4949019,372281,2660014,2475491,184523,2661286,2473528,187758,5321300,3781882,3109914,671968,1539418,200610,61512,35945,7127,66715,29311,831330,608987,106304,116039,507478,157569,138453,211456,0
718,2015KW02,Q2,2015,Amsterdam Schiphol,121865,118740,111289,7451,59367,55687,3680,59373,55602,3771,15471882,14475557,996325,7701092,7229850,471242,7770790,7245707,525083,15471882,11028547,9065021,1963526,4443335,614040,215624,117692,20401,171619,88704,2330656,1673402,319997,337257,1498639,472444,420420,605775,0
719,2015MM07,July,2015,Amsterdam Schiphol,43503,42494,38460,4034,21239,19202,2037,21255,19258,1997,5914428,5311056,603372,2790465,2524382,266083,3123963,2786674,337289,5914428,4197398,3372613,824785,1717030,247180,94230,37527,8057,76096,31270,872530,626486,121865,124179,597320,193608,151270,252442,0
720,2015MM08,August,2015,Amsterdam Schiphol,43212,42339,38216,4123,21176,19133,2043,21163,19083,2080,5937238,5314700,622538,3107242,2768224,339018,2829996,2546476,283520,5937238,4150650,3326400,824250,1786588,266886,106511,40731,8793,77665,33186,893391,648241,121228,123922,626311,210165,158591,257555,0
721,2015MM09,September,2015,Amsterdam Schiphol,41616,40558,37863,2695,20286,18947,1339,20272,18916,1356,5466239,5101666,364573,2737082,2549688,187394,2729157,2551978,177179,5466239,3868276,3179873,688403,1597963,216632,74884,38698,7480,65143,30427,836065,603797,110657,121611,545266,170257,143685,231324,0
722,2015KW03,Q3,2015,Amsterdam Schiphol,128331,125391,114539,10852,62701,57282,5419,62690,57257,5433,17317905,15727422,1590483,8634789,7842294,792495,8683116,7885128,797988,17317905,12216324,9878886,2337438,5101581,730698,275625,116956,24330,218904,94883,2601986,1878524,353750,369712,1768897,574030,453546,741321,0
723,2015MM10,October,2015,Amsterdam Schiphol,41305,40241,37944,2297,20108,18981,1127,20133,18963,1170,5326372,5031339,295033,2678899,2519305,159594,2647473,2512034,135439,5326372,3768179,3091581,676598,1558193,217793,70668,45285,6586,62454,32800,796260,566462,113169,116629,544140,181221,148016,214903,0
724,2015MM11,November,2015,Amsterdam Schiphol,35487,34454,33509,945,17243,16762,481,17211,16747,464,4325395,4242919,82476,2169687,2123884,45803,2155708,2119035,36673,4325395,3016712,2544606,472106,1308683,203598,56669,49919,6224,53977,36809,619611,400208,113575,105828,485474,171160,146868,167446,0
725,2015MM12,December,2015,Amsterdam Schiphol,35520,34609,33745,864,17313,16895,418,17296,16850,446,4287593,4216980,70613,2116536,2082771,33765,2171057,2134209,36848,4287593,2916811,2447820,468991,1370782,212138,54614,52493,7990,58347,38694,656486,418629,121675,116182,502158,185041,161434,155683,0
726,2015KW04,Q4,2015,Amsterdam Schiphol,112312,109304,105198,4106,54664,52638,2026,54640,52560,2080,13939360,13491238,448122,6965122,6725960,239162,6974238,6765278,208960,13939360,9701702,8084007,1617695,4237658,633529,181951,147697,20800,174778,108303,2072357,1385299,348419,338639,1531772,537422,456318,538032,0
727,2015JJ00,2015,2015,Amsterdam Schiphol,462117,450673,424745,25928,225325,212466,12859,225348,212279,13069,58245291,54867687,3377604,29088171,27409520,1678651,29157120,27458167,1698953,58245291,40682961,33467409,7215552,17562330,2598267,861169,506167,85103,749644,396184,8736767,6021870,1365263,1349634,6227296,2016369,1816527,2394400,0
728,2016MM01,January,2016,Amsterdam Schiphol,34003,33151,32373,778,16567,16176,391,16584,16197,387,4108820,4042069,66751,2067977,2033010,34967,2040843,2009059,31784,4108820,2745595,2297387,448208,1363225,211744,50114,55187,7668,60214,38561,634604,384878,126959,122767,516877,177586,163095,176196,0
729,2016MM02,February,2016,Amsterdam Schiphol,33832,32959,32156,803,16478,16082,396,16481,16074,407,4095405,4027912,67493,2024205,1990387,33818,2071200,2037525,33675,4095405,2880353,2423626,456727,1215052,194933,47166,49903,7105,54956,35803,550982,330153,115781,105048,469137,168834,137090,163213,0
730,2016MM03,March,2016,Amsterdam Schiphol,37962,36903,36011,892,18447,18009,438,18456,18002,454,4745869,4671373,74496,2397134,2360183,36951,2348735,2311190,37545,4745869,3326928,2803110,523818,1418941,214019,57912,52728,7147,58481,37751,679550,444948,122567,112035,525372,197696,149813,177863,0
731,2016KW01,Q1,2016,Amsterdam Schiphol,105797,103013,100540,2473,51492,50267,1225,51521,50273,1248,12950094,12741354,208740,6489316,6383580,105736,6460778,6357774,103004,12950094,8952876,7524123,1428753,3997218,620696,155192,157818,21920,173651,112115,1865136,1159979,365307,339850,1511386,544116,449998,517272,0
732,2016MM04,April,2016,Amsterdam Schiphol,40914,39780,38401,1379,19885,19194,691,19895,19207,688,5243473,5100536,142937,2545683,2489948,55735,2697790,2610588,87202,5243473,3736412,3137158,599254,1507061,195376,56559,49746,6036,49614,33421,765587,537697,117236,110654,546098,196947,154080,195071,0
733,2016MM05,May,2016,Amsterdam Schiphol,44671,43419,41262,2157,21719,20659,1060,21700,20603,1097,5732006,5435100,296906,2913429,2766387,147042,2818577,2668713,149864,5732006,4195512,3513728,681784,1536494,190193,56563,39970,7901,53260,32499,820679,593176,118044,109459,525622,186586,151323,187713,0
734,2016MM06,June,2016,Amsterdam Schiphol,43613,42418,40530,1888,21208,20283,925,21210,20247,963,5736839,5484883,251956,2872561,2748615,123946,2864278,2736268,128010,5736839,4189124,3535693,653431,1547715,177684,40988,39780,7629,57831,31456,831150,603626,116614,110910,538881,174390,154331,210160,0
735,2016KW02,Q2,2016,Amsterdam Schiphol,129198,125617,120193,5424,62812,60136,2676,62805,60057,2748,16712318,16020519,691799,8331673,8004950,326723,8380645,8015569,365076,16712318,12121048,10186579,1934469,4591270,563253,154110,129496,21566,160705,97376,2417416,1734499,351894,331023,1610601,557923,459734,592944,0
736,2016MM07,July,2016,Amsterdam Schiphol,46406,45260,42630,2630,22620,21283,1337,22640,21347,1293,6370808,5991977,378831,2995564,2825423,170141,3375244,3166554,208690,6370808,4578516,3808166,770350,1792292,240360,85936,44824,9404,64834,35362,903224,632783,141475,128966,648708,225401,177159,246148,0
737,2016MM08,August,2016,Amsterdam Schiphol,46592,45703,42938,2765,22852,21516,1336,22851,21422,1429,6402126,5977981,424145,3347204,3121792,225412,3054922,2856189,198733,6402126,4572032,3779001,793031,1830094,257152,96563,45751,10404,67367,37067,908028,642188,138256,127584,664914,235578,178945,250391,0
738,2016MM09,September,2016,Amsterdam Schiphol,44323,43186,41191,1995,21589,20621,968,21597,20570,1027,5866487,5589150,277337,2943433,2800060,143373,2923054,2789090,133964,5866487,4217956,3562720,655236,1648531,213970,70143,40054,8628,59376,35769,848398,602732,126187,119479,586163,199349,164839,221975,0
739,2016KW03,Q3,2016,Amsterdam Schiphol,137321,134149,126759,7390,67061,63420,3641,67088,63339,3749,18639421,17559108,1080313,9286201,8747275,538926,9353220,8811833,541387,18639421,13368504,11149887,2218617,5270917,711482,252642,130629,28436,191577,108198,2659650,1877703,405918,376029,1899785,660328,520943,718514,0
740,2016MM10,October,2016,Amsterdam Schiphol,44334,43389,41643,1746,21699,20871,828,21690,20772,918,5782773,5573085,209688,2921833,2804902,116931,2860940,2768183,92757,5782773,4148178,3484875,663303,1634595,218522,64575,45682,7845,62828,37592,829436,574585,133566,121285,586637,202260,168711,215666,0
741,2016MM11,November,2016,Amsterdam Schiphol,37289,36325,35499,826,18165,17765,400,18160,17734,426,4694112,4612251,81861,2353958,2310685,43273,2340154,2301566,38588,4694112,3286965,2791429,495536,1407147,211548,54192,53816,6386,56129,41025,657404,414007,130314,113083,538195,189631,169595,178969,0
742,2016MM12,December,2016,Amsterdam Schiphol,37131,36371,35519,852,18198,17786,412,18173,17733,440,4747645,4663205,84440,2333003,2292115,40888,2414642,2371090,43552,4747645,3242654,2734762,507892,1504991,225498,58056,57260,7601,60538,42043,711129,448810,138701,123618,568364,210321,174539,183504,0
743,2016KW04,Q4,2016,Amsterdam Schiphol,118754,116085,112661,3424,58062,56422,1640,58023,56239,1784,15224530,14848541,375989,7608794,7407702,201092,7615736,7440839,174897,15224530,10677797,9011066,1666731,4546733,655568,176823,156758,21832,179495,120660,2197969,1437402,402581,357986,1693196,602212,512845,578139,0
744,2016JJ00,2016,2016,Amsterdam Schiphol,491070,478864,460153,18711,239427,230245,9182,239437,229908,9529,63526363,61169522,2356841,31715984,30543507,1172477,31810379,30626015,1184364,63526363,45120225,37871655,7248570,18406138,2550999,738767,574701,93754,705428,438349,9140171,6209583,1525700,1404888,6714968,2364579,1943520,2406869,0
745,2017MM01,January,2017,Amsterdam Schiphol,36373,35663,34713,950,17826,17368,458,17837,17345,492,4559527,4468880,90647,2310862,2263724,47138,2248665,2205156,43509,4559527,3060824,2572846,487978,1498703,225715,55561,57671,7124,61396,43963,684200,415992,142773,125435,588788,211757,181368,195663,0
746,2017MM02,February,2017,Amsterdam Schiphol,34292,33400,32522,878,16697,16292,405,16703,16230,473,4324272,4233843,90429,2129390,2085722,43668,2194882,2148121,46761,4324272,3013325,2541735,471590,1310947,203953,49387,53306,6542,56220,38498,581488,347868,125984,107636,525506,190369,157063,178074,0
747,2017MM03,March,2017,Amsterdam Schiphol,40468,39436,38436,1000,19713,19232,481,19723,19204,519,5161224,5061091,100133,2622918,2572030,50888,2538306,2489061,49245,5161224,3625271,3067077,558194,1535953,227072,60459,57530,7119,59109,42855,720334,465218,137764,117352,588547,216506,167836,204205,0
748,2017KW01,Q1,2017,Amsterdam Schiphol,111133,108499,105671,2828,54236,52892,1344,54263,52779,1484,14045023,13763814,281209,7063170,6921476,141694,6981853,6842338,139515,14045023,9699420,8181658,1517762,4345603,656740,165407,168507,20785,176725,125316,1986022,1229078,406521,350423,1702841,618632,506267,577942,0
749,2017MM04,April,2017,Amsterdam Schiphol,42894,41873,40341,1532,20936,20183,753,20937,20158,779,5837225,5647096,190129,2859626,2779869,79757,2977599,2867227,110372,5837225,4146176,3501837,644339,1691049,222355,67994,53730,6235,54071,40325,865902,602264,142553,121085,602792,221739,161291,219762,0
750,2017MM05,May,2017,Amsterdam Schiphol,46630,45418,43324,2094,22714,21687,1027,22704,21637,1067,6207951,5903573,304378,3134261,2982077,152184,3073690,2921496,152194,6207951,4502206,3816377,685829,1705745,201717,57059,45833,7974,52615,38236,912406,652156,138577,121673,591622,202338,159184,230100,0
751,2017MM06,June,2017,Amsterdam Schiphol,45193,44011,41994,2017,22003,21012,991,22008,20982,1026,6144775,5848966,295809,3087275,2940775,146500,3057500,2908191,149309,6144775,4462101,3780026,682075,1682674,191099,39760,45067,8662,61381,36229,909338,656140,136005,117193,582237,191349,162263,228625,0
752,2017KW02,Q2,2017,Amsterdam Schiphol,134717,131302,125659,5643,65653,62882,2771,65649,62777,2872,18189951,17399635,790316,9081162,8702721,378441,9108789,8696914,411875,18189951,13110483,11098240,2012243,5079468,615171,164813,144630,22871,168067,114790,2687646,1910560,417135,359951,1776651,615426,482738,678487,0
753,2017MM07,July,2017,Amsterdam Schiphol,47602,46495,43396,3099,23241,21700,1541,23254,21696,1558,6729274,6255342,473932,3182386,2969260,213126,3546888,3286082,260806,6729274,4863967,4065720,798247,1865307,252660,82911,48495,9042,72047,40165,952462,673050,149944,129468,660185,242016,174189,243980,0
754,2017MM08,August,2017,Amsterdam Schiphol,47755,46863,43578,3285,23432,21805,1627,23431,21773,1658,6788668,6256374,532294,3520949,3240196,280753,3267719,3016178,251541,6788668,4904378,4073547,830831,1884290,265226,98539,48355,8783,68096,41453,958942,682603,145887,130452,660122,246512,174183,239427,0
755,2017MM09,September,2017,Amsterdam Schiphol,45392,44269,41890,2379,22133,20956,1177,22136,20934,1202,6258281,5905068,353213,3160005,2973626,186379,3098276,2931442,166834,6258281,4527676,3816494,711182,1730605,227513,70095,47440,7580,63212,39186,889357,631746,132478,125133,613735,214627,167095,232013,0
756,2017KW03,Q3,2017,Amsterdam Schiphol,140749,137627,128864,8763,68806,64461,4345,68821,64403,4418,19776223,18416784,1359439,9863340,9183082,680258,9912883,9233702,679181,19776223,14296021,11955761,2340260,5480202,745399,251545,144290,25405,203355,120804,2800761,1987399,428309,385053,1934042,703155,515467,715420,0
757,2017MM10,October,2017,Amsterdam Schiphol,45957,44849,42844,2005,22426,21453,973,22423,21391,1032,6242908,5977298,265610,3140562,2991662,148900,3102346,2985636,116710,6242908,4512232,3798584,713648,1730676,246879,76421,56485,6712,64357,42904,859618,597935,136262,125421,624179,220567,170520,233092,0
758,2017MM11,November,2017,Amsterdam Schiphol,39037,37963,37223,740,18983,18638,345,18980,18585,395,5170757,5094581,76176,2597443,2558038,39405,2573314,2536543,36771,5170757,3643001,3096871,546130,1527756,241642,63802,61157,6822,65529,44332,708793,448065,141890,118838,577321,194575,183500,199246,0
759,2017MM12,December,2017,Amsterdam Schiphol,37324,36499,35654,845,18259,17843,416,18240,17811,429,4975525,4894212,81313,2438150,2398904,39246,2537375,2495308,42067,4975525,3387426,2859205,528221,1588099,251478,64991,65106,7966,68194,45221,746677,468071,152098,126508,589944,202452,197469,190023,0
760,2017KW04,Q4,2017,Amsterdam Schiphol,122318,119311,115721,3590,59668,57934,1734,59643,57787,1856,16389190,15966091,423099,8176155,7948604,227551,8213035,8017487,195548,16389190,11542659,9754660,1787999,4846531,739999,205214,182748,21500,198080,132457,2315088,1514071,430250,370767,1791444,617594,551489,622361,0
